objectid,title,description,date,creator,subject,local subject,publisher,type,format,relation,rights,note,OCLC number,Date created,Date modified,Reference URL,cdmid,CONTENTdm file name,CONTENTdm file path,collectionid
foto_CSIF_57a,Sor Isolina Ferré con niños y jóvenes,"Sor Isolina Ferré rodeada de niñas, niños y jóvenes en Puerto Rico, participantes en los programas de los Centros Sor Isolina Ferré.  Al fondo, en el muro, la frase: ""en su Plenitud"".",1992,Nelson García Santos (fotógrafo),"Adult education --Puerto Rico; After-school programs –Puerto Rico; Alternative Education –Puerto Rico; Children education --Puerto Rico; Children with disabilities –Development –Puerto Rico; Early childhood education –Puerto Rico; Early childhood special education –Puerto Rico; Educación alternativa --Puerto Rico; Education --Children with disabilities –Puerto Rico; Educación especial –Puerto Rico; Education --Government housing projects –Puerto Rico; Educación –Jóvenes con diversidad funcional –Puerto Rico; Educación –Niños con diversidad funcional –Puerto Rico; Educación no tradicional –Puerto Rico; Educación –Programas después de la escuela –Puerto Rico; Educación –Puerto Rico; Educación --Residenciales públicos –Puerto Rico; Educación --Temprana infancia –Puerto Rico; Education --Social housing –Puerto Rico; Education, Vocational –Puerto Rico; Education --Youth with disabilities --Puerto Rico; Educational innovations –Puerto Rico; Equal education opportunity –Puerto Rico; Innovación educativa –Puerto Rico; Jóvenes con necesidades especiales –Puerto Rico; Jóvenes --Educación --Puerto Rico; Niños con diversidad funcional –Desarrollo –Puerto Rico; Niños con necesidades especiales –Desarrollo –Puerto Rico; Nonprofit organization --Puerto Rico; Nontraditional education –Puerto Rico; Organización sin fines de lucro --Puerto Rico; Social work with children –Puerto Rico; Social work with children with disabilities –Puerto Rico; Social work with families –Puerto Rico; Social work with teenagers –Puerto Rico; Social work with youth –Puerto Rico; Temprana infancia –Educación especial –Puerto Rico; Trabajo social con adolescentes –Puerto Rico; Trabajo social con familias –Puerto; Trabajo social con jóvenes –Puerto Rico; Trabajo social con niños –Puerto Rico; Trabajo social con niños con diversidad funcional –Puerto Rico; Youth education --Puerto Rico; Youths with disabilities –Development –Puerto Rico","Ferré, Isolina, 1914-2000","Centros Sor Isolina Ferré, Inc.",Image,image/jpeg,"Reproducción digital de fotografías de los Centros Sor Isolina Ferré, Inc.","Centros Sor Isolina Ferré, Inc.  Todos los derechos reservados.",,,2023-04-15,2023-04-15,http://cdm17444.contentdm.oclc.org/cdm/ref/collection/p17444coll1/id/1,1,2.jpg,/p17444coll1/image/2.jpg,p17444coll1
foto_CSIF_58a,Sor Isolina Ferré con Danny Rivera,"Sor Isolina Ferré con Danny Rivera, compositor y cantante puertorriqueño, colaborador de los Centros Sor Isolina Ferré.",[sin información de fecha en la fotografía],Nelson García Santos (fotógrafo),,"Centro de Orientación y Servicios, La Playa, Ponce --Puerto Rico; Centro de Artes y Oficios Antonio Ferré, La Playa, Ponce --Puerto Rico; Centro Sor Isolina Ferré --Puerto Rico; Centros Sor Isolina Ferré, Inc. --Puerto Rico; Dispensario San Antonio, La Playa, Ponce --Puerto Rico; El Angel de La Playa; Ferré, Isolina, 1914-2000; Instituto Antonio Ferré, La Playa, Ponce --Puerto Rico; Instituto de Artes y Oficios Antonio Ferré, La Playa, Ponce --Puerto Rico; La Playa de Ponce --Puerto Rico; Rivera, Danny --Puerto Rico; Siervas Misioneras de la Santísima Trinidad –Puerto Rico","Centros Sor Isolina Ferré, Inc.",Image,image/jpeg,"Reproducción digital de fotografías de los Centros Sor Isolina Ferré, Inc.","Centros Sor Isolina Ferré, Inc. Todos los derechos reservados.",,,2023-04-16,2023-04-16,http://cdm17444.contentdm.oclc.org/cdm/ref/collection/p17444coll1/id/2,2,3.jpg,/p17444coll1/image/3.jpg,p17444coll1
foto_CSIF_59a,Sor Isolina Ferré en la Procesión de la Virgen del Carmen,"Sor Isolina Ferré carga al hombre el Paso con la imagen de la Vírgen del Carmen, en Procesión, junto a un grupo de personas, por una calle de la comunidad de La Playa de Ponce (Puerto Rico).  La Virgen del Carmen es la Patrona de los pescadores.",[16 de julio ….....],Nelson García Santos (fotógrafo),Antropología cultural –Puerto Rico; Antropología social –Puerto Rico; Cultural anthropology –Puerto Rico; Etnografía --Puerto Rico; Etnicidad –Aspectos religiosos –Iglesia Católica –Puerto Rico; Ethnicity –Religious aspects –Catholic Church –Puerto Rico; Ethnography –Puerto Rico; Procesiones religiosas --Puerto Rico; Religious processions --Puerto Rico; Social anthrophology –Puerto Rico; Virgen del Carmen; Virgin of Carmel,"Centros Sor Isolina Ferré, Inc. --Puerto Rico; La Playa de Ponce --Puerto Rico; Ferré, Isolina, 1914-2000; Villa Pesquera --Ponce (P.R.); Virgen del Carmen","Centros Sor Isolina Ferré, Inc.",Image,image/jpeg,"Reproducción digital de fotografías de los Centros Sor Isolina Ferré, Inc.","Centros Sor Isolina Ferré, Inc. Todos los derechos reservados.",,,2023-04-16,2023-04-16,http://cdm17444.contentdm.oclc.org/cdm/ref/collection/p17444coll1/id/3,3,4.jpg,/p17444coll1/image/4.jpg,p17444coll1
foto_CSIF_60a,"Sor Isolina Ferré y Sister Rosita M. Bauzá, en Centros Sister Isolina Ferré, en La Playa de Ponce","Sor Isolina Ferré y Sister Rosita M. Bauzá, M.S.B.T., en Centros Sister Isolina Ferré, Tabaiba, en La Playa de Ponce, Puerto Rico",sin información de fecha en la fotografía,Nelson García Santos (fotógrafo),,"Centro de Orientación y Servicios, La Playa, Ponce --Puerto Rico; Centro de Artes y Oficios Antonio Ferré, La Playa, Ponce --Puerto Rico; Centro Sor Isolina Ferré --Puerto Rico; Centros Sor Isolina Ferré, Inc. --Puerto Rico; Dispensario San Antonio, La Playa, Ponce --Puerto Rico; El Angel de La Playa; Ferré, Isolina, 1914-2000; Instituto Antonio Ferré, La Playa, Ponce --Puerto Rico; Instituto de Artes y Oficios Antonio Ferré, La Playa, Ponce --Puerto Rico; La Playa de Ponce --Puerto Rico; Rivera, Danny --Puerto Rico; Siervas Misioneras de la Santísima Trinidad –Puerto Rico; Sister Rosita M. Bauzá, M.S.B.T.","Centros Sor Isolina Ferré, Inc.",Image,image/jpeg,"Reproducción digital de fotografías de los Centros Sor Isolina Ferré, Inc.","Centros Sor Isolina Ferré, Inc. Todos los derechos reservados.",,,2023-04-16,2023-04-16,http://cdm17444.contentdm.oclc.org/cdm/ref/collection/p17444coll1/id/4,4,5.jpg,/p17444coll1/image/5.jpg,p17444coll1
foto_CSIF_61a,"Sor Isolina Ferré y Sister Rosita Bauzá, en los Centros (CSIF)","Sor Isolina Ferré y Sister Rosita M. Bauzá, M.S.B.T. en los Centros, en La Playa de Ponce, Puerto Rico","[en el reverso de la fotografía: Calendario de los Centros, agosto 2001]",[sin información de fotógrafo/a],,"Centro de Orientación y Servicios, La Playa, Ponce --Puerto Rico; Centro de Artes y Oficios Antonio Ferré, La Playa, Ponce --Puerto Rico; Centro Sor Isolina Ferré --Puerto Rico; Centros Sor Isolina Ferré, Inc. --Puerto Rico; Calendario fotográfico de los Centros Sor Isolina Ferré (2001); Dispensario San Antonio, La Playa, Ponce --Puerto Rico; El Angel de La Playa; Ferré, Isolina, 1914-2000; Instituto Antonio Ferré, La Playa, Ponce --Puerto Rico; Instituto de Artes y Oficios Antonio Ferré, La Playa, Ponce --Puerto Rico; La Playa de Ponce --Puerto Rico; Siervas Misioneras de la Santísima Trinidad –Puerto Rico; Sister Rosita M. Bauzá, M.S.B.T.; Tabaiba, Ponce --Puerto Rico","Centros Sor Isolina Ferré, Inc.",Image,image/jpeg,"Reproducción digital de fotografías de los Centros Sor Isolina Ferré, Inc.","Centros Sor Isolina Ferré, Inc. Todos los derechos reservados.",,,2023-04-17,2023-04-17,http://cdm17444.contentdm.oclc.org/cdm/ref/collection/p17444coll1/id/5,5,6.jpg,/p17444coll1/image/6.jpg,p17444coll1
foto_CSIF_62a,"Sor Isolina Ferré, Sister Rosita y Alcalde de Ponce, Rafael Cordero Santiago ""Churumba""","1. Sor Isolina Ferré; 3. Sister Rosita M. Bauzá, M.S.B.T.; 5. Rafael Cordero Santiago, ""Churumba"", Alcalde de Ponce, Puerto Rico, en inauguración de instalaciones en los Centros Sor Isolina Ferré, en el momento del ""Corte de cinta"".","[sin información de fecha, en la fotografía]","[sin información de fotógrafo/a, en la fotografía]",,"Centro de Orientación y Servicios, La Playa, Ponce --Puerto Rico; Centro de Artes y Oficios Antonio Ferré, La Playa, Ponce --Puerto Rico; Centro Sor Isolina Ferré --Puerto Rico; Centros Sor Isolina Ferré, Inc. --Puerto Rico; Calendario fotográfico de los Centros Sor Isolina Ferré (2001); Cordero Santiago, Rafael, ""Churumba"" (Alcalde de Ponce, Puerto Rico; Dispensario San Antonio, La Playa, Ponce --Puerto Rico; El Angel de La Playa; Ferré, Isolina, 1914-2000; Instituto Antonio Ferré, La Playa, Ponce --Puerto Rico; Instituto de Artes y Oficios Antonio Ferré, La Playa, Ponce --Puerto Rico; La Playa de Ponce --Puerto Rico; Sister Rosita M. Bauzá, M.S.B.T.","Centros Sor Isolina Ferré, Inc.",Image,image/jpeg,"Reproducción digital de fotografías de los Centros Sor Isolina Ferré, Inc.","Centros Sor Isolina Ferré, Inc. Todos los derechos reservados.",,,2023-04-21,2023-04-21,http://cdm17444.contentdm.oclc.org/cdm/ref/collection/p17444coll1/id/6,6,7.jpg,/p17444coll1/image/7.jpg,p17444coll1
foto_CSIF_63a,Sor Isolina Ferré se acerca sonriente a anciana,Sor Isolina Ferré se acerca sonriente a saludar a una anciana en silla de ruedas.  Esta le sostiene la mano derecha a Sor Isolina con las dos manos.,"[sin información de fecha, en la fotografía]","[sin información de fotógrafo/a, en la fotografía]","Asistencia humanitaria –Puerto Rico; Asistencia humanitaria puertorriqueña; Educación para adultos --Puerto Rico; Educación --Residenciales públicos –Puerto Rico; Education --Social housing –Puerto Rico; Hermanas –Congregación --Siervas Misioneras de la Santísima Trinidad –Puerto Rico;  Humanitarian aid workers –Puerto Rico; Humanitarian assistance, Puerto Rican; Humanitarian assistance –Puerto Rico; Humanitarian organization --Puerto Rico; Nonprofit organization --Puerto Rico; Nontraditional education –Puerto Rico; Older people –Education –Puerto Rico; Organización humanitaria --Puerto Rico; Misioneras –Puerto Rico; Monjas –Puerto Rico; Monjas –puertorriqueñas; Nuns –Puerto Rico; Organización sin fines de lucro --Puerto Rico; Puerto Rican humanitarian assistance; Puerto Rican missionaries; Puerto Rican nuns; Puerto Rico –Ponce; Sisters –Congregation --Missionary Servants of the Most Blesses Trinity –Puerto Rico; Social work with families –Puerto Rico; Social work with older people –Puerto Rico; Social work with women –Puerto Rico; Trabajadores de ayuda humanitaria –Puerto Rico; Trabajo social con adulto mayor –Puerto Rico; Trabajo social con envejecientes –Puerto Rico; Trabajo social con familias –Puerto; Trabajo social con mujeres –Puerto Rico; Woman –Education –Puerto Rico","Centro de Orientación y Servicios, La Playa, Ponce --Puerto Rico; Centro de Artes y Oficios Antonio Ferré, La Playa, Ponce --Puerto Rico; Centro Sor Isolina Ferré --Puerto Rico; Centros Sor Isolina Ferré, Inc. --Puerto Rico; Dispensario San Antonio, La Playa, Ponce --Puerto Rico; El Angel de La Playa; Ferré, Isolina, 1914-2000; Instituto Antonio Ferré, La Playa, Ponce --Puerto Rico; Instituto de Artes y Oficios Antonio Ferré, La Playa, Ponce --Puerto Rico; La Playa, Ponce --Puerto Rico","Centros Sor Isolina Ferré, Inc.",Image,image/jpeg,"Reproducción digital de fotografías de los Centros Sor Isolina Ferré, Inc.","Centros Sor Isolina Ferré, Inc. Todos los derechos reservados.",,,2023-04-23,2023-04-23,http://cdm17444.contentdm.oclc.org/cdm/ref/collection/p17444coll1/id/7,7,8.jpg,/p17444coll1/image/8.jpg,p17444coll1
foto_CSIF_50a,"Sor Isolina Ferré y Sister Milder Vázquez, M.S.B.T.",,[sin información de fecha en la fotografía],"[sin información de fotógrafo/a, en la fotografía]",,"Centro de Orientación y Servicios, La Playa, Ponce --Puerto Rico; Centro de Artes y Oficios Antonio Ferré, La Playa, Ponce --Puerto Rico; Centro Sor Isolina Ferré --Puerto Rico; Centros Sor Isolina Ferré, Inc. --Puerto Rico; Dispensario San Antonio, La Playa, Ponce --Puerto Rico; El Angel de La Playa; Ferré, Isolina, 1914-2000; Instituto Antonio Ferré, La Playa, Ponce --Puerto Rico; Instituto de Artes y Oficios Antonio Ferré, La Playa, Ponce --Puerto Rico; La Playa, Ponce --Puerto Rico","Centros Sor Isolina Ferré, Inc.",Image,image/jpeg,"Reproducción digital de fotografías Archivo Histórico Centros Sor Isolina Ferré, Inc.","Centros Sor Isolina Ferré, Inc. Todos los derechos reservados.",,,2023-04-23,2023-04-23,http://cdm17444.contentdm.oclc.org/cdm/ref/collection/p17444coll1/id/8,8,9.jpg,/p17444coll1/image/9.jpg,p17444coll1
foto_CSIF_51a,Sor Isolina Ferré y Zoribel Fonalledas,"Sor Isolina Ferré y Zoribel Fonalledas, Miss Puerto Rico Universe (2000)",[ca. 1999-2000],"[sin información de fotógrafo/a, en la fotografía]",,"Centros Sor Isolina Ferré --Puerto Rico; Centro de Orientación y Servicios, La Playa, Ponce --Puerto Rico; Centro de Artes y Oficios Antonio Ferré, La Playa, Ponce --Puerto Rico; Centro Sor Isolina Ferré --Puerto Rico; Centros Sor Isolina Ferré, Inc. --Puerto Rico; Dispensario San Antonio, La Playa, Ponce --Puerto Rico; El Angel de La Playa; Ferré, Isolina, 1914-2000; Instituto Antonio Ferré, La Playa, Ponce --Puerto Rico; Instituto de Artes y Oficios Antonio Ferré, La Playa, Ponce --Puerto Rico","Centros Sor Isolina Ferré, Inc.",Image,image/jpeg,"Reproducción digital de fotografías de los Centros Sor Isolina Ferré, Inc.","Centros Sor Isolina Ferré, Inc. Todos los derechos reservados.",,,2023-04-23,2023-04-23,http://cdm17444.contentdm.oclc.org/cdm/ref/collection/p17444coll1/id/9,9,10.jpg,/p17444coll1/image/10.jpg,p17444coll1
